,iteration,speed
46,46,"[0.1599999  0.15999999 0.15999735 0.15999937 0.15999999 0.15999749
 0.16       0.15999985 0.15999739 0.15999881]"
47,47,"[0.15999991 0.15999999 0.15999738 0.1599994  0.15999999 0.15999752
 0.16       0.15999986 0.15999737 0.15999884]"
48,48,"[0.15999992 0.15999999 0.1599974  0.15999943 0.15999999 0.15999756
 0.16       0.15999987 0.15999736 0.15999888]"
49,49,"[0.15999992 0.15999999 0.15999743 0.15999946 0.15999999 0.1599976
 0.16       0.15999988 0.15999735 0.15999891]"
50,50,"[0.15999993 0.15999999 0.15999747 0.15999949 0.15999999 0.15999764
 0.16       0.15999988 0.15999734 0.15999894]"
51,51,"[0.15999994 0.15999999 0.1599975  0.15999952 0.15999999 0.15999769
 0.16       0.15999989 0.15999734 0.15999897]"
52,52,"[0.15999994 0.15999999 0.15999753 0.15999955 0.15999999 0.15999774
 0.16       0.1599999  0.15999733 0.159999  ]"
53,53,"[0.15999995 0.15999999 0.15999756 0.15999957 0.16       0.1599978
 0.16       0.1599999  0.15999733 0.15999903]"
54,54,"[0.15999995 0.16       0.15999757 0.1599996  0.16       0.15999788
 0.16       0.15999991 0.15999734 0.15999906]"
55,55,"[0.15999995 0.16       0.15999756 0.15999962 0.16       0.15999799
 0.16       0.15999991 0.15999734 0.15999909]"
56,56,"[0.15999996 0.16       0.1599975  0.15999965 0.16       0.15999818
 0.16       0.15999992 0.15999735 0.15999911]"
57,57,"[0.15999996 0.16       0.15999736 0.15999967 0.16       0.15999879
 0.16       0.15999992 0.15999736 0.15999914]"
58,58,"[0.15999996 0.16       0.16000101 0.1599997  0.16       0.16000204
 0.16       0.15999993 0.15999737 0.15999916]"
59,59,"[0.15999997 0.16       0.15999867 0.15999972 0.16       0.15999746
 0.15999999 0.15999993 0.15999738 0.15999919]"
60,60,"[0.15999997 0.16       0.15999843 0.15999974 0.16       0.15999774
 0.15999999 0.15999994 0.1599974  0.15999921]"
61,61,"[0.15999997 0.16       0.15999842 0.15999976 0.16       0.15999795
 0.15999999 0.15999994 0.15999742 0.15999924]"
62,62,"[0.15999997 0.16       0.15999848 0.15999978 0.16       0.15999814
 0.15999999 0.15999994 0.15999744 0.15999926]"
63,63,"[0.15999998 0.16       0.15999856 0.1599998  0.16       0.15999832
 0.15999999 0.15999995 0.15999746 0.15999928]"
64,64,"[0.15999998 0.16       0.15999865 0.15999982 0.16       0.15999849
 0.15999999 0.15999995 0.15999748 0.1599993 ]"
65,65,"[0.15999998 0.16       0.15999874 0.15999983 0.16       0.15999865
 0.15999999 0.15999995 0.15999751 0.15999932]"
66,66,"[0.15999998 0.16       0.15999884 0.15999985 0.16       0.15999882
 0.15999999 0.15999996 0.15999754 0.15999934]"
67,67,"[0.15999998 0.16       0.15999893 0.15999987 0.16       0.15999897
 0.15999999 0.15999996 0.15999757 0.15999936]"
68,68,"[0.15999998 0.16       0.15999903 0.15999988 0.16       0.15999912
 0.15999999 0.15999996 0.1599976  0.15999938]"
69,69,"[0.15999998 0.16       0.15999911 0.1599999  0.16       0.15999926
 0.15999999 0.15999996 0.15999763 0.1599994 ]"
70,70,"[0.15999999 0.16       0.1599992  0.15999991 0.16       0.15999939
 0.15999999 0.15999997 0.15999767 0.15999942]"
71,71,"[0.15999999 0.16       0.15999927 0.15999992 0.16       0.15999951
 0.15999999 0.15999997 0.1599977  0.15999944]"
72,72,"[0.15999999 0.16       0.15999935 0.15999993 0.16       0.15999961
 0.15999999 0.15999997 0.15999774 0.15999946]"
73,73,"[0.15999999 0.16       0.15999941 0.15999995 0.16       0.1599997
 0.15999999 0.15999997 0.15999778 0.15999947]"
74,74,"[0.15999999 0.16       0.15999947 0.15999996 0.16       0.15999978
 0.15999999 0.15999998 0.15999782 0.15999949]"
75,75,"[0.15999999 0.16       0.15999953 0.15999997 0.16       0.15999985
 0.15999999 0.15999998 0.15999785 0.15999951]"
76,76,"[0.15999999 0.16       0.15999958 0.15999997 0.16       0.1599999
 0.15999999 0.15999998 0.15999789 0.15999952]"
77,77,"[0.15999999 0.16       0.15999963 0.15999998 0.16       0.15999994
 0.15999999 0.15999998 0.15999793 0.15999954]"
78,78,"[0.15999999 0.16       0.15999967 0.15999999 0.16       0.15999997
 0.15999999 0.15999998 0.15999797 0.15999955]"
79,79,"[0.15999999 0.16       0.15999971 0.15999999 0.16       0.15999999
 0.15999999 0.15999998 0.15999801 0.15999956]"
80,80,"[0.15999999 0.16       0.15999974 0.16       0.16       0.16
 0.15999999 0.15999999 0.15999805 0.15999958]"
81,81,"[0.15999999 0.16       0.15999978 0.16       0.16       0.16
 0.15999999 0.15999999 0.15999809 0.15999959]"
82,82,"[0.15999999 0.16       0.1599998  0.16       0.16       0.15999999
 0.15999999 0.15999999 0.15999813 0.1599996 ]"
83,83,"[0.15999999 0.16       0.15999983 0.16       0.16       0.15999998
 0.15999999 0.15999999 0.15999817 0.15999962]"
84,84,"[0.15999999 0.16       0.15999985 0.16       0.16       0.15999996
 0.15999999 0.15999999 0.15999821 0.15999963]"
85,85,"[0.15999999 0.16       0.15999987 0.15999999 0.16       0.15999994
 0.15999999 0.15999999 0.15999825 0.15999964]"
86,86,"[0.15999999 0.16       0.15999989 0.15999999 0.16       0.15999992
 0.16       0.15999999 0.15999829 0.15999965]"
87,87,"[0.15999999 0.16       0.1599999  0.15999998 0.16       0.15999989
 0.16       0.15999999 0.15999832 0.15999966]"
88,88,"[0.15999999 0.16       0.15999992 0.15999997 0.16       0.15999987
 0.16       0.15999999 0.15999836 0.15999967]"
89,89,"[0.15999999 0.16       0.15999993 0.15999995 0.16       0.15999984
 0.16       0.15999999 0.1599984  0.15999968]"
90,90,"[0.15999999 0.16       0.15999994 0.15999993 0.16       0.15999981
 0.16       0.15999999 0.15999843 0.15999969]"
