,iteration,speed
46,46,"[0.15999888 0.15999737 0.15999996 0.15999735 0.16       0.15999835
 0.15999995 0.15999997 0.15999999 0.15999781]"
47,47,"[0.15999894 0.15999739 0.15999996 0.15999738 0.15999999 0.15999812
 0.15999994 0.15999995 0.15999999 0.15999777]"
48,48,"[0.159999   0.1599974  0.15999996 0.15999741 0.15999999 0.15999794
 0.15999993 0.15999993 0.15999999 0.15999773]"
49,49,"[0.15999906 0.15999742 0.15999996 0.15999746 0.15999998 0.15999781
 0.15999993 0.15999989 0.15999999 0.15999769]"
50,50,"[0.15999911 0.15999745 0.15999996 0.15999753 0.15999997 0.15999772
 0.15999992 0.15999986 0.15999999 0.15999766]"
51,51,"[0.15999916 0.15999747 0.15999997 0.1599976  0.15999996 0.15999767
 0.15999991 0.15999982 0.16       0.15999762]"
52,52,"[0.15999921 0.1599975  0.15999997 0.15999768 0.15999995 0.15999765
 0.1599999  0.15999977 0.16       0.15999759]"
53,53,"[0.15999926 0.15999753 0.15999997 0.15999777 0.15999993 0.15999765
 0.1599999  0.15999972 0.16       0.15999756]"
54,54,"[0.1599993  0.15999756 0.15999998 0.15999787 0.15999991 0.15999767
 0.15999989 0.15999967 0.16       0.15999753]"
55,55,"[0.15999934 0.1599976  0.15999998 0.15999797 0.15999989 0.1599977
 0.15999988 0.15999962 0.16       0.1599975 ]"
56,56,"[0.15999938 0.15999763 0.15999999 0.15999808 0.15999987 0.15999775
 0.15999988 0.15999956 0.16       0.15999748]"
57,57,"[0.15999942 0.15999767 0.15999999 0.15999818 0.15999985 0.15999781
 0.15999987 0.1599995  0.16       0.15999745]"
58,58,"[0.15999946 0.15999772 0.16       0.15999828 0.15999982 0.15999788
 0.15999987 0.15999944 0.16       0.15999743]"
59,59,"[0.15999949 0.15999776 0.16       0.15999838 0.15999979 0.15999796
 0.15999986 0.15999937 0.16       0.15999741]"
60,60,"[0.15999952 0.15999781 0.16       0.15999848 0.15999976 0.15999804
 0.15999986 0.15999931 0.16       0.15999739]"
61,61,"[0.15999955 0.15999785 0.16       0.15999857 0.15999973 0.15999814
 0.15999986 0.15999924 0.16       0.15999738]"
62,62,"[0.15999958 0.1599979  0.15999999 0.15999865 0.15999969 0.15999823
 0.15999985 0.15999918 0.16       0.15999736]"
63,63,"[0.1599996  0.15999795 0.15999998 0.15999873 0.15999965 0.15999833
 0.15999958 0.15999911 0.16       0.1599976 ]"
64,64,"[0.15999962 0.15999801 0.15999996 0.1599988  0.15999961 0.15999843
 0.15999959 0.15999904 0.16       0.15999757]"
65,65,"[0.15999965 0.15999806 0.15999993 0.15999886 0.15999957 0.15999853
 0.15999959 0.15999898 0.16       0.15999754]"
66,66,"[0.15999967 0.15999812 0.15999999 0.15999891 0.15999952 0.15999862
 0.15999959 0.15999891 0.16       0.15999795]"
67,67,"[0.15999969 0.15999817 0.15999992 0.15999896 0.15999948 0.15999871
 0.1599996  0.15999885 0.16       0.15999777]"
68,68,"[0.1599997  0.15999823 0.15999989 0.15999901 0.15999943 0.1599988
 0.1599996  0.15999879 0.16       0.15999773]"
69,69,"[0.15999972 0.15999829 0.15999986 0.15999904 0.15999937 0.15999889
 0.1599996  0.15999873 0.16       0.15999769]"
70,70,"[0.15999974 0.15999835 0.15999983 0.15999908 0.15999932 0.15999897
 0.15999961 0.15999868 0.16       0.15999765]"
71,71,"[0.15999975 0.1599984  0.15999979 0.15999911 0.15999927 0.15999905
 0.15999961 0.15999863 0.16       0.15999762]"
