agent,time,x,y
0,0.0,0.41212467081071635,0.31440345169975525
0,0.01,0.4113762450285432,0.3158176072880212
0,0.02,0.41061415120725236,0.317224448684547
1,0.0,0.041110094109090056,0.3299958417989374
1,0.01,0.039530433520535035,0.3297416785019666
1,0.02,0.03794562992764562,0.32952192194823043
2,0.0,0.813802154475886,0.19426475874809812
2,0.01,0.8150050833517204,0.1932097930905061
2,0.02,0.8162006630530957,0.19214650660909313
3,0.0,0.14133634707722476,0.4477636858361055
3,0.01,0.14033336294284401,0.4490102861249416
3,0.02,0.13932288406457904,0.4502508227443109
4,0.0,0.11494782045492846,0.7133915673364842
4,0.01,0.11627879387634668,0.7125036747491371
4,0.02,0.11758391527976828,0.7115778725946141
5,0.0,0.019545999479563148,0.2664891506527294
5,0.01,0.018395365087996413,0.26537739517671743
5,0.02,0.017229448060600717,0.2642816785927545
6,0.0,0.7319226868315473,0.723834807168757
6,0.01,0.7335163937875818,0.7239762189202253
6,0.02,0.7351126381594368,0.724085574479664
7,0.0,0.46246100162826664,0.674572665346761
7,0.01,0.46390835979367817,0.6738906471743885
7,0.02,0.46535878646757955,0.6732151780970386
8,0.0,0.9380124445038789,0.6165026112388539
8,0.01,0.9374454155860534,0.6150064804057833
8,0.02,0.9369055137462134,0.613500346303371
9,0.0,0.3896429800068332,0.49085559438174575
9,0.01,0.3912422915294499,0.49080992593331774
9,0.02,0.3928400904625204,0.4907267359966455
10,0.0,0.08001350655821027,0.13351223357533015
10,0.01,0.08078225453724291,0.1349154764987815
10,0.02,0.0815874193157517,0.13629806704781997
11,0.0,0.16326383554553703,0.8843079215329583
11,0.01,0.16430447415153396,0.8855232919684328
11,0.02,0.16534274335086968,0.8867406646298635
12,0.0,0.4211013783062234,0.6151229973511573
12,0.01,0.42256131307434325,0.6144683150482162
12,0.02,0.42402359353129226,0.6138189054095303
13,0.0,0.29176308120578043,0.09461917871092362
13,0.01,0.2912524649204208,0.09310286820549413
13,0.02,0.2907720373558481,0.09157671789003047
14,0.0,0.5199614155557784,0.39182104215416924
14,0.01,0.5214304696502031,0.39245494100463485
14,0.02,0.5229118784109114,0.393059364885028
15,0.0,0.5521987895401144,0.40130120758636945
15,0.01,0.5522510271901319,0.39970206119397766
15,0.02,0.5522987565085961,0.3981027737429386
16,0.0,0.10216718585850715,0.23009892259954645
16,0.01,0.10220340045473532,0.22849933297851382
16,0.02,0.1022342963424177,0.22689963197363455
17,0.0,0.29280951733876226,0.25599248861896506
17,0.01,0.2942331125749014,0.25526221343575767
17,0.02,0.2956694138280502,0.2545572483149519
18,0.0,0.6445346258217094,0.9505521482587272
18,0.01,0.6441392820842132,0.9490017781321524
18,0.02,0.6437126526209194,0.9474597419129581
19,0.0,0.637960497605453,0.9678276988898
19,0.01,0.639079242933526,0.9689714655384131
19,0.02,0.6401614722740618,0.9701498440805743
20,0.0,0.08863451370976538,0.023025967968649752
20,0.01,0.09022144289019786,0.023230037233228244
20,0.02,0.09180741068411978,0.02344147899159081
21,0.0,0.22424588829175585,0.9493522576233544
21,0.01,0.22582085585776274,0.9496339495699386
21,0.02,0.22738888615600553,0.9499520452379082
22,0.0,0.8195150186184934,0.17076287875276497
22,0.01,0.8210940819885392,0.17102043474915965
22,0.02,0.8226806521086565,0.1712267653592491
23,0.0,0.37175742256622957,0.2641508791527969
23,0.01,0.3717759225221842,0.2657507328167956
23,0.02,0.37175639433941404,0.26735057698872805
24,0.0,0.8426965852483634,0.3849879646071469
24,0.01,0.8437228127087784,0.3837602489067288
24,0.02,0.8447591222503187,0.3825412128332944
25,0.0,0.12301886745625978,0.25723171016498747
25,0.01,0.12146419129590628,0.2568536176933242
25,0.02,0.11990467634837097,0.25649602707471575
26,0.0,0.19472028984033019,0.6596031106489676
26,0.01,0.19320734014142524,0.659082550391854
26,0.02,0.1916952526899457,0.6585592380544811
27,0.0,0.2675168213025779,0.8141759718629324
27,0.01,0.26840132640113396,0.8128427042051041
27,0.02,0.26930567964879315,0.8115228187051019
28,0.0,0.4038990653531601,0.5713151311210827
28,0.01,0.40501990170099234,0.572456861713467
28,0.02,0.40610717893798604,0.5736305925857439
29,0.0,0.9495917900437563,0.6437238714306305
29,0.01,0.9493054766050875,0.6452980432244649
29,0.02,0.9490274459434971,0.6468736998708867
30,0.0,0.17370211249778966,0.4390870318690936
30,0.01,0.17232925784861025,0.4382652780872008
30,0.02,0.17096205680554397,0.43743416063368284
31,0.0,0.3371637629115294,0.35925933585903647
31,0.01,0.33873518276649633,0.35895827596631447
31,0.02,0.340306956556561,0.35865906389153496
32,0.0,0.9084136893430715,0.4526303312849187
32,0.01,0.9069317139845293,0.4520272216309346
32,0.02,0.9054534270080192,0.4514151274683898
33,0.0,0.1984632031259259,0.010402763590256603
33,0.01,0.2000502086601005,0.01060604182208954
33,0.02,0.20163260242481626,0.010842556652105519
34,0.0,0.7398505015601334,0.3391408697464626
34,0.01,0.740376543360188,0.3376298974892636
34,0.02,0.7409525890184713,0.33613726806231403
35,0.0,0.7014598055908334,0.7196871014597302
35,0.01,0.7016376847278009,0.7212771796623548
35,0.02,0.7018238741707201,0.7228663084097966
36,0.0,0.023849427719375038,0.1265244822452709
36,0.01,0.024402904547142126,0.12502327046035275
36,0.02,0.02494118727814805,0.12351653343631022
37,0.0,0.3541265576476397,0.8284100162006226
37,0.01,0.3529076817915995,0.8294465207272407
37,0.02,0.3516896921619331,0.8304840923940616
38,0.0,0.7019876536579139,0.6393950113400199
38,0.01,0.7030419305728932,0.6381914875668844
38,0.02,0.7041105582192768,0.6370006876839512
39,0.0,0.7556402041541018,0.9618312796917683
39,0.01,0.7556357339010762,0.960231348289736
39,0.02,0.75568125034501,0.9586320652985022
40,0.0,0.7104158679004253,0.3671830529919623
40,0.01,0.7089118371023304,0.36663728059560097
40,0.02,0.7074020284178684,0.3661077030203872
41,0.0,0.21100236968836072,0.2712330980406813
41,0.01,0.21206665061323363,0.2724277243496221
41,0.02,0.21316554888275194,0.2735905851352865
42,0.0,0.4097730077785404,0.10794251807390964
42,0.01,0.411269849206898,0.10850754909785307
42,0.02,0.41278351206734804,0.10902583530524841
43,0.0,0.33003183138127534,0.17458640950886206
43,0.01,0.33118234146264586,0.17569829861809153
43,0.02,0.33231997313287526,0.17682336161213413
44,0.0,0.24405935707832904,0.6308347608040427
44,0.01,0.2455990642851285,0.6312698289625651
44,0.02,0.2471425194069299,0.6316914105135047
45,0.0,0.04014412778657028,0.41207396577404876
45,0.01,0.04138764773094989,0.41308075901831726
45,0.02,0.04261703226102912,0.4141047550617479
46,0.0,0.9647126462747506,0.6456863141107755
46,0.01,0.9649791207249662,0.6472639140531249
46,0.02,0.9652883042506729,0.6488337043272866
47,0.0,0.09631298249737696,0.2257806384394343
47,0.01,0.09592444940617555,0.2242285739890898
47,0.02,0.0954996404180983,0.22268601164508664
48,0.0,0.5177591669342352,0.5367279664560052
48,0.01,0.5162650825445924,0.536155543384489
48,0.02,0.5147603999972108,0.5356116186829322
49,0.0,0.17397195597906379,0.9450761083011866
49,0.01,0.1755656743407967,0.9452174751721084
49,0.02,0.17715645476898054,0.9453887753971058
50,0.0,0.4932871724727571,0.10173849814356095
50,0.01,0.494736255759318,0.10241671545835074
50,0.02,0.4962038485440042,0.10305405077017175
51,0.0,0.47305140073800656,0.8167280763165701
51,0.01,0.47461629244971004,0.8163947619984979
51,0.02,0.47618004390254237,0.8160561029732281
52,0.0,0.7570582009282671,0.9959665877234876
52,0.01,0.755595365401039,0.9953185044631813
52,0.02,0.7541186915390744,0.9947026067169067
53,0.0,0.2887714766485847,0.5219179846715364
53,0.01,0.2892590629592201,0.5234418092624737
53,0.02,0.2897960064005216,0.5249489614496388
54,0.0,0.3683394734544906,0.2001225216730943
54,0.01,0.36832277121673923,0.20172242985815744
54,0.02,0.36831958670017156,0.20332242180482277
55,0.0,0.16289493578881475,0.6342984635964584
55,0.01,0.1628086674652674,0.6327008521730242
55,0.02,0.16267447352779102,0.631106548447561
56,0.0,0.937913320724473,0.8561455054225772
56,0.01,0.9384285237789289,0.8576602243458983
56,0.02,0.9388988143033088,0.8591894915898093
57,0.0,0.6710515186697221,0.7343163142964724
57,0.01,0.6696587165345257,0.7335287136690737
57,0.02,0.6682697168502055,0.7327344627874206
58,0.0,0.2006697923323829,0.459783116537247
58,0.01,0.20224204744768015,0.45948644768197344
58,0.02,0.2038159896146991,0.4591977398961295
59,0.0,0.05913256246125298,0.3382025568369582
59,0.01,0.06005760932054031,0.3368970922611713
59,0.02,0.06100172453121449,0.33560534880569953
