agent,time,x,y
0,0.0,0.41212467081071635,0.31440345169975525
0,0.01,0.411408946487131,0.312972466542659
0,0.02,0.4106615867388685,0.311557736468938
1,0.0,0.041110094109090056,0.3299958417989374
1,0.01,0.040895607177862336,0.3315813811486968
1,0.02,0.04065615851539757,0.3331633465922436
2,0.0,0.813802154475886,0.19426475874809812
2,0.01,0.8136522223018685,0.19267179930775447
2,0.02,0.8134997977236131,0.19107907639245147
3,0.0,0.14133634707722476,0.4477636858361055
3,0.01,0.14289097159485503,0.4473853454217093
3,0.02,0.1444446822588148,0.4470032697305434
4,0.0,0.11494782045492846,0.7133915673364842
4,0.01,0.11495614210256078,0.7149915438591145
4,0.02,0.11495718573271599,0.7165915584962658
5,0.0,0.019545999479563148,0.2664891506527294
5,0.01,0.018119473977801406,0.26576460794570517
5,0.02,0.01668062348871616,0.2650648460768437
6,0.0,0.7319226868315473,0.723834807168757
6,0.01,0.7305970769876772,0.7229389605406307
6,0.02,0.7293008402737238,0.7220011175117658
7,0.0,0.46246100162826664,0.674572665346761
7,0.01,0.46101540984783773,0.6738868991657873
7,0.02,0.45955438503898544,0.6732347484000161
8,0.0,0.9380124445038789,0.6165026112388539
8,0.01,0.9382906153117685,0.6180782362366496
8,0.02,0.9385864865314657,0.6196506337091257
9,0.0,0.3896429800068332,0.49085559438174575
9,0.01,0.39116683289300047,0.4903680162706429
9,0.02,0.3926775885823965,0.4898412594540401
10,0.0,0.08001350655821027,0.13351223357533015
10,0.01,0.07849889864971522,0.13402794512478036
10,0.02,0.07698246951965099,0.13453838272135127
11,0.0,0.16326383554553703,0.8843079215329583
11,0.01,0.16417489902950333,0.8829926397224249
11,0.02,0.16508992272364928,0.8816801119493467
12,0.0,0.4211013783062234,0.6151229973511573
12,0.01,0.4205833072129504,0.6136092361431725
12,0.02,0.4200275028018426,0.6121089218013076
13,0.0,0.29176308120578043,0.09461917871092362
13,0.01,0.29130257520505154,0.09615146543649118
13,0.02,0.2908604048794842,0.09768914441233743
14,0.0,0.5199614155557784,0.39182104215416924
14,0.01,0.5205605293822763,0.3903375276113442
14,0.02,0.521110197946291,0.38883497614773027
15,0.0,0.5521987895401144,0.40130120758636945
15,0.01,0.550923734948473,0.4022677653673101
15,0.02,0.5496444115806773,0.40322866245633593
16,0.0,0.10216718585850715,0.23009892259954645
16,0.01,0.1033395824317019,0.2290101229865699
16,0.02,0.10450886012670066,0.22791797471045677
17,0.0,0.29280951733876226,0.25599248861896506
17,0.01,0.29140866168789276,0.2552194630959226
17,0.02,0.2899979782796928,0.2544645215708308
18,0.0,0.6445346258217094,0.9505521482587272
18,0.01,0.6457063648710115,0.9494626541621543
18,0.02,0.6468650367792299,0.9483592734466003
19,0.0,0.637960497605453,0.9678276988898
19,0.01,0.6373728656054263,0.9663395804571953
19,0.02,0.6367417189965191,0.9648693761014271
20,0.0,0.08863451370976538,0.023025967968649752
20,0.01,0.0884098079667881,0.021441882645948304
20,0.02,0.08823162770504034,0.019851893280713094
21,0.0,0.22424588829175585,0.9493522576233544
21,0.01,0.22264596535451214,0.949361126319262
21,0.02,0.22104693986616328,0.9494154291964102
22,0.0,0.8195150186184934,0.17076287875276497
22,0.01,0.8210484928378288,0.17030647400550938
22,0.02,0.8225694784072419,0.16981002535669776
23,0.0,0.37175742256622957,0.2641508791527969
23,0.01,0.37074777900662453,0.2629097584450601
23,0.02,0.3696968561705825,0.2617033930239807
24,0.0,0.8426965852483634,0.3849879646071469
24,0.01,0.8412787610253439,0.3857294258408611
24,0.02,0.839866036820287,0.38648055860905006
25,0.0,0.12301886745625978,0.25723171016498747
25,0.01,0.12175757764996069,0.25624727182868895
25,0.02,0.12048424830674259,0.2552784600230055
26,0.0,0.19472028984033019,0.6596031106489676
26,0.01,0.19630873827993706,0.6597950259466078
26,0.02,0.19789702197977566,0.659988324747678
27,0.0,0.2675168213025779,0.8141759718629324
27,0.01,0.26702174160828784,0.8156974451659553
27,0.02,0.2665630288713377,0.8172302323900725
28,0.0,0.4038990653531601,0.5713151311210827
28,0.01,0.4030208801779014,0.5699777626439635
28,0.02,0.4020988791267946,0.5686702144919593
29,0.0,0.9495917900437563,0.6437238714306305
29,0.01,0.9491954046686347,0.6452739933827087
29,0.02,0.9488018013996338,0.6468248241087852
30,0.0,0.17370211249778966,0.4390870318690936
30,0.01,0.17252083011225666,0.43800787914091777
30,0.02,0.17133702196245057,0.4369314975987391
31,0.0,0.3371637629115294,0.35925933585903647
31,0.01,0.33572358683547104,0.3599563897060855
31,0.02,0.3342879424233202,0.36066272966026097
32,0.0,0.9084136893430715,0.4526303312849187
32,0.01,0.9094716787577771,0.45383061026844723
32,0.02,0.9105369499215485,0.45502442345567945
33,0.0,0.1984632031259259,0.010402763590256603
33,0.01,0.19799263039318743,0.0119319918908417
33,0.02,0.19753992257449982,0.01346660150962971
34,0.0,0.7398505015601334,0.3391408697464626
34,0.01,0.7384072129757714,0.33845030434633616
34,0.02,0.7369731995170594,0.3377406791990616
35,0.0,0.7014598055908334,0.7196871014597302
35,0.01,0.7001257088839815,0.7188039121199109
35,0.02,0.6988161681144914,0.7178847003219573
36,0.0,0.023849427719375038,0.1265244822452709
36,0.01,0.022425889416396495,0.12579407410912632
36,0.02,0.02101267025921794,0.1250438919123111
37,0.0,0.3541265576476397,0.8284100162006226
37,0.01,0.35322765241524356,0.8270864401888093
37,0.02,0.35235831325478917,0.8257432438810225
38,0.0,0.7019876536579139,0.6393950113400199
38,0.01,0.7010750092027541,0.6380808484293921
38,0.02,0.7001839208440573,0.636751975011748
39,0.0,0.7556402041541018,0.9618312796917683
39,0.01,0.7541909724401402,0.9625092838168896
39,0.02,0.752750947171668,0.9632066277339318
40,0.0,0.7104158679004253,0.3671830529919623
40,0.01,0.7116999885565848,0.36622860998739976
40,0.02,0.7130050211179897,0.3653029855428604
41,0.0,0.21100236968836072,0.2712330980406813
41,0.01,0.20992195904447514,0.2724138617329875
41,0.02,0.20883494919461404,0.2735879156192595
42,0.0,0.4097730077785404,0.10794251807390964
42,0.01,0.408292532677841,0.10854918715864843
42,0.02,0.406795873666518,0.10911473728487012
43,0.0,0.33003183138127534,0.17458640950886206
43,0.01,0.331259370824493,0.17356023481410096
43,0.02,0.3324492536102955,0.17249070093898822
44,0.0,0.24405935707832904,0.6308347608040427
44,0.01,0.24463342738493662,0.6293413491073073
44,0.02,0.24524837529980695,0.6278642977646781
45,0.0,0.04014412778657028,0.41207396577404876
45,0.01,0.039667608333597504,0.41054660079606037
45,0.02,0.03914612289004505,0.4090340128825635
46,0.0,0.9647126462747506,0.6456863141107755
46,0.01,0.9660178476520782,0.6466116809217567
46,0.02,0.9673467529694654,0.6475026739812566
47,0.0,0.09631298249737696,0.2257806384394343
47,0.01,0.09770376638083403,0.224989681131837
47,0.02,0.09907635075001121,0.2241675487517011
48,0.0,0.5177591669342352,0.5367279664560052
48,0.01,0.5173900901870878,0.53517113433298
48,0.02,0.5169953994140827,0.5336205993046358
49,0.0,0.17397195597906379,0.9450761083011866
49,0.01,0.17557193951759098,0.9450775088364721
49,0.02,0.17717173944873002,0.9451019843834217
50,0.0,0.4932871724727571,0.10173849814356095
50,0.01,0.49424347025669224,0.10302124048050716
50,0.02,0.4952225536939046,0.10428667550067984
51,0.0,0.47305140073800656,0.8167280763165701
51,0.01,0.4741301892453795,0.8155464626202925
51,0.02,0.47520374216539996,0.8143600889906049
52,0.0,0.7570582009282671,0.9959665877234876
52,0.01,0.757888943616646,0.9973340137059145
52,0.02,0.7587073754245842,0.9987088466990761
53,0.0,0.2887714766485847,0.5219179846715364
53,0.01,0.28759105729978124,0.520837975614325
