,iteration,speed
0,0,[0.15999996 0.12999997 0.12011005 0.30027512]
1,1,[0.1599993  0.12999999 0.11999981 0.29999954]
2,2,[0.15999928 0.12999999 0.12015216 0.3003804 ]
3,3,[0.15999927 0.12999999 0.12004637 0.30011592]
4,4,[0.15999926 0.12999999 0.12000923 0.30002308]
5,5,[0.15999924 0.12999999 0.12000284 0.30000711]
6,6,[0.15999923 0.12999999 0.12003249 0.30008122]
7,7,[0.15999922 0.12999999 0.12004659 0.30011648]
8,8,[0.15999921 0.12999999 0.11999995 0.29999988]
9,9,[0.1599992  0.12999999 0.11999991 0.29999978]
10,10,[0.15999919 0.12999999 0.11999983 0.29999957]
11,11,[0.15999995 0.12999997 0.1201724  0.30043101]
12,12,[0.15999995 0.12999997 0.12007187 0.30017967]
13,13,[0.15999995 0.12999997 0.12013982 0.30034956]
14,14,[0.15999994 0.12999997 0.11999981 0.29999953]
15,15,[0.15999994 0.12999997 0.12006337 0.30015843]
16,16,[0.15999994 0.12999997 0.12000362 0.30000905]
17,17,[0.15999989 0.12999999 0.11999982 0.29999956]
18,18,[0.15999989 0.12999999 0.12001638 0.30004094]
19,19,[0.1599999  0.12999999 0.11999973 0.29999934]
20,20,[0.15999991 0.12999999 0.11999989 0.29999974]
21,21,[0.15999991 0.12999999 0.11999995 0.29999987]
22,22,[0.15999992 0.12999999 0.11999995 0.29999989]
23,23,[0.15999992 0.12999999 0.11999995 0.29999988]
24,24,[0.15999993 0.12999999 0.11999994 0.29999984]
25,25,[0.15999993 0.12999999 0.1199999  0.29999975]
26,26,[0.15999994 0.12999999 0.11999985 0.29999962]
27,27,[0.15999994 0.12999998 0.12000082 0.30000204]
28,28,[0.15999994 0.12999998 0.12001347 0.30003367]
29,29,[0.15999994 0.12999998 0.12000282 0.30000706]
30,30,[0.15999994 0.12999998 0.11999956 0.2999989 ]
31,31,[0.15999994 0.12999998 0.12000147 0.30000366]
32,32,[0.15999995 0.12999998 0.11999994 0.29999986]
33,33,[0.15999995 0.12999998 0.12000998 0.30002496]
34,34,[0.15999995 0.12999998 0.12000023 0.30000057]
35,35,[0.15999995 0.12999998 0.12000158 0.30000395]
36,36,[0.15999996 0.12999998 0.12000487 0.30001218]
37,37,[0.15999996 0.12999998 0.12000036 0.3000009 ]
38,38,[0.15999996 0.12999998 0.12000003 0.30000007]
39,39,[0.15999996 0.12999998 0.1200005  0.30000126]
40,40,[0.15999997 0.12999998 0.11999995 0.29999986]
41,41,[0.15999997 0.12999998 0.11999998 0.29999996]
42,42,[0.15999997 0.12999998 0.12001944 0.30004861]
43,43,[0.15999997 0.12999998 0.11999999 0.29999998]
44,44,[0.15999997 0.12999998 0.11999952 0.29999881]
45,45,[0.15999997 0.12999998 0.11999992 0.29999981]
46,46,[0.15999997 0.12999998 0.12       0.29999999]
47,47,[0.15999997 0.12999998 0.11999983 0.29999958]
48,48,[0.15999997 0.12999998 0.12016076 0.30040189]
49,49,[0.15999997 0.12999998 0.11999999 0.29999998]
50,50,[0.15999997 0.12999998 0.11999996 0.29999989]
51,51,[0.15999997 0.12999998 0.11999976 0.2999994 ]
52,52,[0.15999997 0.12999998 0.12000074 0.30000185]
53,53,[0.15999997 0.12999998 0.11999998 0.29999995]
54,54,[0.15999997 0.12999998 0.11999999 0.29999998]
55,55,[0.15999997 0.12999998 0.1199999  0.29999975]
56,56,[0.15999997 0.12999998 0.11999976 0.29999941]
57,57,[0.15999997 0.12999998 0.11999956 0.29999889]
58,58,[0.15999997 0.12999998 0.12000064 0.3000016 ]
59,59,[0.15999997 0.12999998 0.11999999 0.29999998]
60,60,[0.15999997 0.12999998 0.12       0.3       ]
61,61,[0.15999997 0.12999998 0.11999995 0.29999988]
62,62,[0.15999997 0.12999998 0.11999984 0.29999959]
63,63,[0.15999997 0.12999998 0.11999975 0.29999937]
64,64,[0.15999997 0.12999998 0.11999967 0.29999916]
65,65,[0.15999996 0.12999998 0.11999952 0.2999988 ]
66,66,[0.15999996 0.12999998 0.12000065 0.30000162]
67,67,[0.15999996 0.12999998 0.11999999 0.29999999]
68,68,[0.15999996 0.12999999 0.12       0.3       ]
69,69,[0.15999996 0.12999999 0.12       0.3       ]
70,70,[0.15999996 0.12999999 0.11999999 0.29999998]
71,71,[0.15999996 0.12999999 0.11999995 0.29999988]
72,72,[0.15999996 0.12999999 0.11999981 0.29999952]
73,73,[0.15999996 0.12999999 0.11999971 0.29999928]
74,74,[0.15999996 0.12999999 0.11999967 0.29999917]
75,75,[0.15999996 0.12999999 0.11999963 0.29999908]
76,76,[0.15999996 0.12999999 0.1199996  0.299999  ]
77,77,[0.15999996 0.12999999 0.11999956 0.2999989 ]
78,78,[0.15999996 0.12999999 0.11999948 0.29999871]
79,79,[0.15999996 0.12999999 0.11999917 0.29999791]
80,80,[0.15999996 0.12999999 0.12001668 0.3000417 ]
81,81,[0.15999996 0.12999999 0.12       0.29999999]
82,82,[0.15999996 0.12999999 0.11999999 0.29999998]
83,83,[0.15999996 0.12999999 0.11999999 0.29999997]
84,84,[0.15999996 0.12999999 0.12016012 0.30040031]
85,85,[0.15999996 0.12999999 0.11999906 0.29999764]
86,86,[0.15999996 0.12999999 0.11999908 0.29999771]
87,87,[0.15999996 0.12999999 0.11999911 0.29999778]
88,88,[0.15999996 0.12999999 0.11999914 0.29999785]
89,89,[0.15999996 0.12999999 0.11999919 0.29999797]
90,90,[0.15999996 0.12999999 0.11999955 0.29999887]
91,91,[0.15999996 0.12999999 0.11999985 0.29999962]
92,92,[0.15999996 0.12999999 0.11999987 0.29999967]
93,93,[0.15999996 0.12999999 0.11999988 0.2999997 ]
94,94,[0.15999996 0.12999999 0.11999989 0.29999972]
95,95,[0.15999996 0.12999999 0.1199999  0.29999974]
96,96,[0.15999996 0.12999999 0.1199999  0.29999975]
97,97,[0.15999996 0.12999999 0.11999991 0.29999977]
98,98,[0.15999996 0.12999999 0.11999991 0.29999978]
99,99,[0.15999996 0.12999999 0.11999992 0.29999979]
100,100,[0.15999997 0.12999999 0.11999992 0.2999998 ]
101,101,[0.15999997 0.12999999 0.11999993 0.29999981]
102,102,[0.15999997 0.12999999 0.11999993 0.29999982]
103,103,[0.15999997 0.12999999 0.11999993 0.29999983]
104,104,[0.15999997 0.13       0.11999993 0.29999983]
105,105,[0.15999997 0.13       0.11999993 0.29999983]
106,106,[0.15999997 0.13       0.11999993 0.29999983]
107,107,[0.15999997 0.13       0.11999993 0.29999982]
108,108,[0.15999997 0.13       0.11999991 0.29999978]
109,109,[0.15999998 0.13       0.11999987 0.29999967]
110,110,[0.15999998 0.13       0.11999974 0.29999934]
111,111,[0.15999998 0.13       0.11999961 0.29999902]
112,112,[0.15999998 0.13       0.11999956 0.29999889]
113,113,[0.15999998 0.13       0.11999953 0.29999884]
114,114,[0.15999998 0.13       0.11999952 0.29999881]
115,115,[0.15999999 0.13       0.11999952 0.2999988 ]
116,116,[0.15999999 0.13       0.11999952 0.29999879]
117,117,[0.15999999 0.13       0.11999952 0.29999879]
118,118,[0.15999999 0.13       0.11999952 0.29999879]
119,119,[0.15999999 0.13       0.11999952 0.2999988 ]
120,120,[0.16       0.13       0.11999952 0.2999988 ]
121,121,[0.16       0.13       0.11999952 0.29999881]
122,122,[0.16       0.13       0.11999952 0.29999881]
123,123,[0.16       0.13       0.11999953 0.29999881]
124,124,[0.16       0.13       0.11999953 0.29999882]
125,125,[0.16       0.13       0.11999953 0.29999882]
126,126,[0.16       0.13       0.11999953 0.29999883]
127,127,[0.16       0.13       0.11999953 0.29999883]
128,128,[0.16       0.13       0.11999953 0.29999883]
129,129,[0.16       0.13       0.11999953 0.29999884]
130,130,[0.16       0.13       0.11999954 0.29999884]
131,131,[0.16       0.13       0.11999954 0.29999884]
132,132,[0.16       0.13       0.11999954 0.29999884]
133,133,[0.16       0.13       0.11999954 0.29999884]
134,134,[0.16       0.13       0.11999954 0.29999885]
135,135,[0.16       0.13       0.11999954 0.29999885]
136,136,[0.15999999 0.13       0.11999954 0.29999885]
137,137,[0.15999999 0.13       0.11999954 0.29999885]
138,138,[0.15999999 0.13       0.11999954 0.29999885]
139,139,[0.15999999 0.13       0.11999954 0.29999885]
140,140,[0.15999999 0.13       0.11999954 0.29999885]
141,141,[0.15999999 0.13       0.11999954 0.29999884]
142,142,[0.15999999 0.13       0.11999954 0.29999884]
143,143,[0.15999999 0.13       0.11999954 0.29999884]
144,144,[0.15999999 0.13       0.11999953 0.29999884]
145,145,[0.15999999 0.13       0.11999953 0.29999883]
146,146,[0.15999999 0.13       0.11999953 0.29999883]
147,147,[0.15999999 0.13       0.11999953 0.29999883]
148,148,[0.15999999 0.13       0.11999953 0.29999882]
149,149,[0.15999999 0.13       0.11999953 0.29999881]
150,150,[0.15999999 0.13       0.11999952 0.29999881]
151,151,[0.15999991 0.13       0.11999992 0.29999981]
152,152,[0.15999991 0.13       0.11999992 0.29999981]
153,153,[0.15999991 0.13       0.11999992 0.29999981]
154,154,[0.15999991 0.13       0.11999993 0.29999981]
155,155,[0.1599999  0.13       0.11999993 0.29999981]
156,156,[0.1599999  0.13       0.11999993 0.29999981]
157,157,[0.1599999  0.13       0.11999993 0.29999982]
158,158,[0.1599999  0.13       0.11999993 0.29999982]
159,159,[0.1599999  0.13       0.11999993 0.29999982]
160,160,[0.1599999  0.13       0.11999993 0.29999982]
161,161,[0.1599999  0.13       0.11999993 0.29999982]
162,162,[0.1599999  0.13       0.11999993 0.29999982]
163,163,[0.1599999  0.13       0.11999993 0.29999982]
164,164,[0.1599999  0.13       0.11999993 0.29999982]
165,165,[0.1599999  0.13       0.11999993 0.29999982]
166,166,[0.1599999  0.13       0.11999993 0.29999983]
167,167,[0.1599999  0.13       0.11999993 0.29999983]
168,168,[0.1599999  0.13       0.11999993 0.29999983]
169,169,[0.1599999  0.13       0.11999993 0.29999983]
170,170,[0.1599999  0.13       0.11999993 0.29999983]
171,171,[0.15999991 0.13       0.11999993 0.29999983]
172,172,[0.15999991 0.13       0.11999993 0.29999983]
173,173,[0.15999991 0.13       0.11999993 0.29999983]
174,174,[0.15999991 0.13       0.11999993 0.29999983]
175,175,[0.15999992 0.13       0.11999993 0.29999982]
176,176,[0.15999992 0.13       0.11999993 0.29999982]
177,177,[0.15999993 0.13       0.11999992 0.29999981]
178,178,[0.15999993 0.13       0.11999992 0.29999981]
179,179,[0.15999994 0.13       0.11999992 0.2999998 ]
180,180,[0.15999994 0.13       0.11999992 0.2999998 ]
181,181,[0.15999995 0.13       0.11999992 0.29999979]
182,182,[0.15999996 0.13       0.11999992 0.29999979]
183,183,[0.15999996 0.13       0.11999991 0.29999979]
184,184,[0.15999997 0.13       0.11999991 0.29999978]
185,185,[0.15999997 0.13       0.11999991 0.29999978]
186,186,[0.15999998 0.13       0.11999991 0.29999978]
187,187,[0.15999998 0.13       0.11999991 0.29999977]
188,188,[0.15999999 0.13       0.11999991 0.29999977]
189,189,[0.15999999 0.13       0.11999991 0.29999977]
190,190,[0.15999999 0.13       0.11999991 0.29999977]
191,191,[0.15999999 0.13       0.11999991 0.29999976]
192,192,[0.16       0.13       0.11999991 0.29999976]
193,193,[0.16       0.13       0.1199999  0.29999976]
194,194,[0.16       0.13       0.1199999  0.29999976]
195,195,[0.16       0.13       0.1199999  0.29999976]
196,196,[0.16       0.13       0.1199999  0.29999976]
197,197,[0.16       0.13       0.1199999  0.29999976]
198,198,[0.16       0.13       0.1199999  0.29999976]
199,199,[0.16       0.13       0.1199999  0.29999976]
200,200,[0.16       0.13       0.1199999  0.29999976]
201,201,[0.16       0.13       0.1199999  0.29999976]
202,202,[0.16       0.13       0.1199999  0.29999976]
203,203,[0.16       0.13       0.1199999  0.29999976]
204,204,[0.16       0.13       0.1199999  0.29999976]
205,205,[0.16       0.13       0.11999991 0.29999976]
206,206,[0.16       0.13       0.11999991 0.29999976]
207,207,[0.16       0.13       0.11999991 0.29999977]
208,208,[0.16       0.13       0.11999991 0.29999977]
209,209,[0.16       0.13       0.11999991 0.29999977]
210,210,[0.16       0.13       0.11999991 0.29999977]
211,211,[0.16       0.13       0.11999991 0.29999978]
212,212,[0.16       0.13       0.11999991 0.29999978]
213,213,[0.16       0.13       0.11999991 0.29999978]
214,214,[0.16       0.13       0.11999991 0.29999979]
215,215,[0.16       0.12999999 0.11999992 0.29999979]
216,216,[0.16       0.12999999 0.11999992 0.29999979]
217,217,[0.16       0.12999999 0.11999992 0.2999998 ]
218,218,[0.16       0.12999999 0.11999992 0.2999998 ]
219,219,[0.16       0.12999999 0.11999992 0.29999981]
220,220,[0.16       0.12999999 0.11999992 0.29999981]
221,221,[0.16       0.12999999 0.11999993 0.29999982]
222,222,[0.16       0.12999999 0.11999993 0.29999982]
223,223,[0.16       0.12999999 0.11999993 0.29999983]
224,224,[0.16       0.12999999 0.11999993 0.29999983]
225,225,[0.16       0.12999999 0.11999993 0.29999984]
226,226,[0.16       0.13       0.11999994 0.29999984]
227,227,[0.16       0.13       0.11999994 0.29999985]
228,228,[0.16       0.13       0.11999994 0.29999986]
229,229,[0.16       0.13       0.11999994 0.29999986]
230,230,[0.16       0.13       0.11999995 0.29999987]
231,231,[0.15999999 0.13       0.11999995 0.29999987]
232,232,[0.15999999 0.13       0.11999995 0.29999988]
233,233,[0.15999999 0.13       0.11999996 0.29999989]
234,234,[0.15999999 0.13       0.11999996 0.2999999 ]
235,235,[0.15999999 0.13       0.11999996 0.2999999 ]
236,236,[0.15999999 0.12999999 0.11999996 0.29999991]
237,237,[0.15999999 0.12999997 0.11999997 0.29999992]
238,238,[0.15999999 0.12999995 0.11999997 0.29999992]
239,239,[0.15999999 0.12999992 0.11999997 0.29999993]
240,240,[0.15999999 0.12999991 0.11999998 0.29999994]
241,241,[0.15999999 0.12999989 0.11999998 0.29999995]
242,242,[0.15999999 0.12999988 0.11999998 0.29999995]
243,243,[0.15999999 0.12999987 0.11999998 0.29999996]
244,244,[0.15999999 0.12999987 0.11999999 0.29999997]
245,245,[0.15999999 0.12999987 0.11999999 0.29999997]
246,246,[0.15999999 0.12999986 0.11999999 0.29999998]
247,247,[0.15999999 0.12999986 0.11999999 0.29999998]
248,248,[0.15999999 0.12999986 0.12       0.29999999]
249,249,[0.15999999 0.12999986 0.12       0.29999999]
250,250,[0.15999999 0.12999986 0.12       0.3       ]
251,251,[0.15999999 0.12999986 0.12       0.3       ]
252,252,[0.15999999 0.12999986 0.12       0.3       ]
253,253,[0.15999999 0.12999986 0.12       0.3       ]
254,254,[0.15999999 0.12999986 0.12       0.3       ]
255,255,[0.15999999 0.12999986 0.12       0.3       ]
256,256,[0.15999999 0.12999987 0.12       0.29999999]
257,257,[0.15999999 0.12999987 0.11999999 0.29999999]
258,258,[0.15999999 0.12999987 0.11999999 0.29999998]
259,259,[0.15999999 0.12999987 0.11999999 0.29999997]
260,260,[0.15999999 0.12999987 0.11999998 0.29999996]
261,261,[0.15999999 0.12999988 0.11999998 0.29999994]
262,262,[0.15999999 0.12999988 0.11999997 0.29999993]
263,263,[0.15999999 0.12999988 0.11999997 0.29999991]
264,264,[0.15999999 0.12999988 0.11999996 0.2999999 ]
265,265,[0.15999999 0.12999988 0.11999995 0.29999988]
266,266,[0.15999999 0.12999989 0.11999995 0.29999986]
267,267,[0.15999999 0.12999989 0.11999994 0.29999985]
268,268,[0.15999999 0.12999989 0.11999993 0.29999983]
269,269,[0.15999998 0.12999989 0.11999993 0.29999982]
270,270,[0.15999998 0.1299999  0.11999992 0.2999998 ]
271,271,[0.15999998 0.1299999  0.11999991 0.29999979]
272,272,[0.15999998 0.1299999  0.11999991 0.29999977]
273,273,[0.15999998 0.1299999  0.1199999  0.29999976]
274,274,[0.15999998 0.1299999  0.1199999  0.29999975]
275,275,[0.15999998 0.1299999  0.11999989 0.29999974]
276,276,[0.15999998 0.12999991 0.11999989 0.29999973]
277,277,[0.15999998 0.12999991 0.11999989 0.29999972]
278,278,[0.15999998 0.12999991 0.11999988 0.29999971]
279,279,[0.15999998 0.12999991 0.11999988 0.2999997 ]
