,iteration,speed
46,46,"[0.1599986  0.15999953 0.15999994 0.1599999  0.15999863 0.15999761
 0.15999841 0.15999883 0.15999998 0.15999994]"
47,47,"[0.15999862 0.15999955 0.15999994 0.1599999  0.15999868 0.15999762
 0.15999838 0.15999886 0.15999998 0.15999995]"
48,48,"[0.15999863 0.15999956 0.15999994 0.15999991 0.15999873 0.15999763
 0.15999834 0.15999888 0.15999997 0.15999995]"
49,49,"[0.15999865 0.15999957 0.15999994 0.15999991 0.15999878 0.15999764
 0.15999831 0.15999891 0.15999997 0.15999995]"
50,50,"[0.15999867 0.15999958 0.15999994 0.15999991 0.15999883 0.15999765
 0.15999827 0.15999894 0.15999997 0.15999996]"
51,51,"[0.15999869 0.15999959 0.15999994 0.15999991 0.15999888 0.15999766
 0.15999824 0.15999897 0.15999997 0.15999996]"
52,52,"[0.1599987  0.15999959 0.15999994 0.15999992 0.15999893 0.15999767
 0.1599982  0.15999899 0.15999997 0.15999996]"
53,53,"[0.15999872 0.1599996  0.15999994 0.15999992 0.15999898 0.15999768
 0.15999817 0.15999902 0.15999997 0.15999996]"
54,54,"[0.15999874 0.15999961 0.15999995 0.15999992 0.15999902 0.15999769
 0.15999813 0.15999905 0.15999997 0.15999997]"
55,55,"[0.15999876 0.15999962 0.15999995 0.15999992 0.15999907 0.1599977
 0.1599981  0.15999908 0.15999997 0.15999997]"
56,56,"[0.15999877 0.15999963 0.15999995 0.15999993 0.15999911 0.15999771
 0.15999807 0.1599991  0.15999997 0.15999997]"
57,57,"[0.15999879 0.15999964 0.15999995 0.15999993 0.15999916 0.15999772
 0.15999803 0.15999913 0.15999997 0.15999997]"
58,58,"[0.1599988  0.15999964 0.15999995 0.15999993 0.1599992  0.15999773
 0.159998   0.15999915 0.15999997 0.15999998]"
59,59,"[0.15999882 0.15999965 0.15999995 0.15999993 0.15999924 0.15999774
 0.15999796 0.15999918 0.15999997 0.15999998]"
60,60,"[0.15999884 0.15999966 0.15999995 0.15999994 0.15999928 0.15999775
 0.15999793 0.15999921 0.15999997 0.15999998]"
61,61,"[0.15999885 0.15999967 0.15999995 0.15999994 0.15999932 0.15999776
 0.1599979  0.15999923 0.15999996 0.15999998]"
62,62,"[0.15999887 0.15999967 0.15999995 0.15999994 0.15999936 0.15999777
 0.15999787 0.15999926 0.15999996 0.15999999]"
63,63,"[0.15999888 0.15999968 0.15999995 0.15999994 0.1599994  0.15999778
 0.15999783 0.15999928 0.15999996 0.15999999]"
