,iteration,speed
46,46,"[0.15999975 0.15999671 0.15999679 0.1599998  0.1599986  0.15999801
 0.15999891 0.15999973 0.15999998 0.15999999]"
47,47,"[0.15999975 0.1599969  0.15999703 0.1599998  0.15999856 0.15999796
 0.15999891 0.15999933 0.15999998 0.15999999]"
48,48,"[0.15999975 0.15999708 0.15999725 0.1599998  0.15999853 0.1599979
 0.15999891 0.15999939 0.15999998 0.15999999]"
49,49,"[0.15999975 0.15999725 0.15999746 0.1599998  0.15999849 0.15999784
 0.16000363 0.15999945 0.15999998 0.16000033]"
50,50,"[0.15999975 0.15999742 0.15999766 0.1599998  0.15999991 0.15999778
 0.15999816 0.15999329 0.15999998 0.15999947]"
51,51,"[0.15999975 0.15999759 0.15999785 0.1599998  0.15999991 0.15999771
 0.15999819 0.1599935  0.15999998 0.15999948]"
52,52,"[0.15999975 0.15999775 0.15999803 0.1599998  0.15999991 0.15999765
 0.16000397 0.15999371 0.15999998 0.16000061]"
53,53,"[0.15999975 0.15999789 0.15999819 0.1599998  0.15999992 0.15999758
 0.15999856 0.15999392 0.15999998 0.1599999 ]"
54,54,"[0.15999975 0.15999803 0.15999801 0.1599998  0.15999992 0.1599994
 0.15999876 0.15999412 0.15999998 0.1599999 ]"
55,55,"[0.15999976 0.15999816 0.15999748 0.15999979 0.15999992 0.15999962
 0.1599989  0.15999432 0.15999998 0.15999996]"
56,56,"[0.15999976 0.15999829 0.15999763 0.15999979 0.15999992 0.15999968
 0.15999889 0.15999452 0.15999998 0.15999996]"
57,57,"[0.15999976 0.15999841 0.15999777 0.15999973 0.15999992 0.15999973
 0.15999887 0.15999472 0.15999998 0.15999996]"
58,58,"[0.15999977 0.15999853 0.15999789 0.15999959 0.15999992 0.15999978
 0.15999886 0.15999492 0.15999998 0.15999996]"
59,59,"[0.15999977 0.15999863 0.159998   0.15999958 0.15999992 0.15999981
 0.15999885 0.15999512 0.15999998 0.15999997]"
60,60,"[0.15999978 0.15999873 0.15999811 0.15999956 0.15999992 0.15999984
 0.15999884 0.15999531 0.15999998 0.15999997]"
61,61,"[0.15999978 0.15999883 0.15999822 0.15999954 0.15999992 0.15999987
 0.15999882 0.15999551 0.15999998 0.15999997]"
62,62,"[0.15999979 0.15999892 0.15999832 0.15999952 0.15999992 0.15999989
 0.15999881 0.1599957  0.15999998 0.15999997]"
63,63,"[0.15999979 0.159999   0.15999841 0.1599995  0.15999992 0.15999991
 0.1599988  0.15999589 0.15999998 0.15999997]"
64,64,"[0.1599998  0.15999908 0.1599985  0.15999947 0.15999993 0.15999993
 0.15999878 0.15999607 0.15999998 0.15999998]"
65,65,"[0.1599998  0.15999915 0.15999858 0.15999945 0.15999993 0.15999994
 0.15999877 0.15999625 0.15999998 0.15999998]"
66,66,"[0.1599998  0.15999921 0.15999807 0.15999942 0.15999993 0.15999995
 0.15999875 0.15999643 0.15999998 0.16000064]"
67,67,"[0.15999981 0.15999928 0.15999402 0.15999939 0.15999993 0.15999996
 0.15999873 0.15999659 0.15999998 0.15999909]"
68,68,"[0.15999982 0.15999934 0.159994   0.15999936 0.15999993 0.15999996
 0.15999871 0.15999675 0.15999998 0.15999908]"
69,69,"[0.15999982 0.15999939 0.159994   0.15999933 0.15999993 0.15999997
 0.15999869 0.15999691 0.15999998 0.15999907]"
70,70,"[0.15999983 0.15999945 0.15999402 0.15999929 0.15999993 0.15999997
 0.15999867 0.15999706 0.15999998 0.15999906]"
71,71,"[0.15999983 0.15999949 0.15999404 0.15999926 0.15999993 0.15999998
 0.15999865 0.1599972  0.15999998 0.15999905]"
72,72,"[0.15999984 0.15999954 0.15999407 0.15999922 0.15999993 0.15999998
 0.15999863 0.15999734 0.15999998 0.15999904]"
73,73,"[0.15999984 0.15999958 0.15999412 0.15999917 0.15999993 0.15999998
 0.15999861 0.15999748 0.15999998 0.15999904]"
74,74,"[0.15999985 0.15999962 0.15999524 0.15999913 0.15999993 0.15999998
 0.16000068 0.15999761 0.15999998 0.15999903]"
75,75,"[0.15999986 0.15999965 0.15999487 0.15999908 0.15999993 0.15999999
 0.15999924 0.15999774 0.15999998 0.15999903]"
76,76,"[0.15999986 0.15999968 0.15999485 0.15999902 0.15999993 0.15999999
 0.15999923 0.15999787 0.15999998 0.15999902]"
77,77,"[0.15999986 0.15999971 0.15999484 0.15999897 0.15999993 0.15999999
 0.15999921 0.15999799 0.15999998 0.15999902]"
78,78,"[0.15999987 0.15999974 0.15999485 0.15999891 0.15999993 0.15999999
 0.1599992  0.1599981  0.15999998 0.15999902]"
79,79,"[0.15999987 0.15999977 0.15999488 0.15999884 0.15999993 0.15999999
 0.15999918 0.15999821 0.15999998 0.15999901]"
80,80,"[0.15999988 0.15999979 0.15999492 0.15999877 0.15999993 0.15999999
 0.15999917 0.15999832 0.15999998 0.15999901]"
81,81,"[0.15999988 0.15999981 0.15999498 0.1599987  0.15999993 0.15999999
 0.15999915 0.15999842 0.15999998 0.15999901]"
82,82,"[0.15999989 0.15999983 0.15999505 0.16000024 0.15999993 0.15999999
 0.15999914 0.15999852 0.15999998 0.15999901]"
83,83,"[0.15999989 0.15999985 0.15999513 0.15999998 0.15999993 0.15999998
 0.15999913 0.15999861 0.15999998 0.15999897]"
84,84,"[0.15999989 0.15999986 0.15999523 0.15999996 0.15999993 0.15999998
 0.15999911 0.1599987  0.15999998 0.15999892]"
85,85,"[0.1599999  0.15999988 0.15999534 0.15999995 0.15999993 0.15999998
 0.1599991  0.15999878 0.15999999 0.15999888]"
86,86,"[0.1599999  0.15999989 0.15999547 0.15999993 0.15999993 0.15999998
 0.15999909 0.15999886 0.15999999 0.15999883]"
87,87,"[0.15999991 0.15999991 0.1599956  0.15999991 0.15999993 0.15999998
 0.15999908 0.15999894 0.1600148  0.16001693]"
88,88,"[0.15999991 0.15999992 0.15999573 0.15999988 0.15999993 0.15999997
 0.15999907 0.15999901 0.15999912 0.15999403]"
89,89,"[0.15999991 0.15999993 0.15999588 0.15999985 0.15999993 0.15999997
 0.15999905 0.15999907 0.15999917 0.15999378]"
90,90,"[0.15999992 0.15999994 0.15999603 0.15999981 0.15999994 0.15999996
 0.15999904 0.15999914 0.15999922 0.15999353]"
91,91,"[0.15999992 0.15999994 0.15999619 0.15999976 0.15999994 0.15999996
 0.15999902 0.1599992  0.15999926 0.15999328]"
92,92,"[0.15999992 0.15999995 0.15999635 0.1599997  0.15999994 0.15999995
 0.15999901 0.15999926 0.1599993  0.15999303]"
93,93,"[0.15999993 0.15999996 0.15999651 0.15999963 0.15999994 0.15999995
 0.15999899 0.15999931 0.15999934 0.15999279]"
94,94,"[0.15999993 0.15999996 0.15999668 0.15999956 0.15999994 0.15999994
 0.15999898 0.15999936 0.15999938 0.15999255]"
95,95,"[0.15999996 0.15999997 0.15999685 0.15999947 0.15999994 0.15999993
 0.15999896 0.16001235 0.15999941 0.15999232]"
96,96,"[0.15999989 0.15999997 0.15999702 0.15999936 0.15999994 0.15999992
 0.15999894 0.15999615 0.15999945 0.1599921 ]"
