agent,time,x,y
0,0.0,0.3,0.3
0,0.01,0.3016000055590199,0.29999855957417765
0,0.02,0.30319999468895154,0.2999928004337637
1,0.0,0.5,0.3
1,0.01,0.5000020862001163,0.3015999981839852
1,0.02,0.5000083955855325,0.3031999852706934
2,0.0,0.3,0.8
2,0.01,0.3000087491493961,0.7984000319648186
2,0.02,0.30003525090469846,0.7968002598404292
3,0.0,0.6,0.6
3,0.01,0.5983999959013645,0.6000015943120172
3,0.02,0.5968000078895718,0.6000076492603268
4,0.0,0.3,0.1
4,0.01,0.300027754575955,0.09840029201241528
4,0.02,0.30011361429736266,0.09680268886199764
5,0.0,0.5,0.5
5,0.01,0.49998496205311554,0.5015999058367365
5,0.02,0.4999396219173536,0.5031992389264617
6,0.0,0.3,0.7
6,0.01,0.29840004921631297,0.6999891318006634
6,0.02,0.29680039880711595,0.6999563055538153
7,0.0,0.5,0.6
7,0.01,0.49998428558495833,0.5984001047218249
7,0.02,0.49993792634306833,0.5968007993576712
8,0.0,0.1,0.4
8,0.01,0.10159998746027896,0.4000054845370114
8,0.02,0.10319989970140561,0.40002194065092755
9,0.0,0.1,0.1
9,0.01,0.10112648457002824,0.10113625184608574
9,0.02,0.10224151208006489,0.10228372392382919
