0,1,2,3,4,5,6,7,8,9
0.2930426011075142,0.2930426011075142,0.2930426011075142,0.2930426011075142,0.2930426011075142,0.2930426011075142,0.2930426011075142,0.2930426011075142,0.2930426011075142,0.2930426011075142
0.2929620131590517,0.2929393361108363,0.2929590552478441,0.2929403713289475,0.29289658125670437,0.29306432245147607,0.2931699870069237,0.2930306653051454,0.29305264929021807,0.29301963573732237
0.29286711593766135,0.2928304314540322,0.2928507460998377,0.2928287671238638,0.29275113274735315,0.2930780617904401,0.2932790107579024,0.2930060210223903,0.2930482792282078,0.2929559025239353
0.2927547187462951,0.2927138256273391,0.2927209228837906,0.2927073064430907,0.2925945194292834,0.29308395455714514,0.2933765600064515,0.29297557705618044,0.2930365124235269,0.29288627066274336
0.29262977991590927,0.2925816928552549,0.2925805847099729,0.2925756332982862,0.29242640649710516,0.29308213910852055,0.29346282933087975,0.29293258835893543,0.2930176576504127,0.2928104139082691
0.29249746504913393,0.29243832983085066,0.2924341733119167,0.292428371802227,0.2922403170275953,0.2930702518386975,0.2935381203897932,0.2928852276561057,0.2929349256332358,0.2927285137286557
0.2923577457690192,0.2922837233590152,0.29227618586366133,0.29226883880334176,0.29204589676125065,0.2930501213569275,0.29359736496539984,0.2928162877573222,0.2928590070776045,0.2926428228674731
0.2922085045032465,0.2921186663311157,0.29210669368492215,0.2920943945670873,0.2918520529295585,0.2930230741535864,0.2936345151995528,0.2927465702450307,0.2927756623479941,0.2925488176522839
0.2920133829203689,0.2919429506667163,0.2919258449579487,0.29190522969843674,0.29167048646430754,0.2929892838000213,0.2936778637553787,0.29268599836143033,0.2926851333237886,0.2924460200593556
0.29179953590779883,0.29175657915644587,0.29173365847570093,0.29169661504513056,0.2914671625476115,0.2929490248867791,0.29370560785299044,0.29262002386364594,0.29258186853953355,0.29233393663377566
0.29157422018922036,0.29155415941242985,0.29152894172950383,0.2914733269967393,0.29124201085251267,0.2929025420869832,0.29369417064062786,0.2925491423417331,0.2924560978007398,0.29221217778924563
0.29133698939449587,0.2913257955067206,0.29129352554904797,0.2912382849069034,0.2909973859569286,0.2928607377035843,0.2936528699730649,0.2924733473779854,0.2923233526986328,0.29208037460263353
0.29108739696976843,0.2910862749269369,0.2910469966822635,0.29099125976024304,0.29074246915559315,0.29281481449525576,0.2936027609551283,0.2924061717391728,0.2921822849728306,0.29193808783363756
0.29082190359989735,0.2908360604794339,0.29079092042173127,0.2907321236718831,0.2904787992082202,0.29276338796982754,0.2935443565608825,0.2923836356803641,0.29203595484110145,0.2917848500914926
0.29052696924399035,0.29057546803847145,0.29052655623142104,0.29046167804936546,0.29017795578284605,0.2926584229701298,0.2934782434761914,0.29235518040757713,0.2918665906030262,0.291588738763215
