,iteration,speed
50,50,"[0.15999999 0.15999996 0.15999996 0.15999999 0.15999996 0.15999996
 0.15999999 0.15999996 0.15999999 0.15999996]"
51,51,"[0.15999999 0.15999996 0.15999996 0.15999999 0.15999996 0.15999996
 0.15999999 0.15999996 0.15999999 0.15999996]"
52,52,"[0.15999999 0.15999995 0.15999996 0.15999999 0.15999996 0.15999995
 0.15999999 0.15999996 0.15999999 0.15999996]"
53,53,"[0.15999999 0.15999995 0.15999996 0.15999999 0.15999996 0.15999995
 0.15999999 0.15999996 0.15999999 0.15999996]"
54,54,"[0.15999999 0.15999995 0.15999996 0.15999999 0.15999996 0.15999995
 0.15999999 0.15999996 0.15999999 0.15999996]"
55,55,"[0.15999999 0.15999995 0.15999996 0.15999999 0.15999996 0.15999995
 0.15999999 0.15999996 0.15999999 0.15999996]"
56,56,"[0.15999999 0.15999995 0.15999996 0.15999999 0.15999996 0.15999995
 0.15999999 0.15999996 0.15999999 0.15999996]"
57,57,"[0.15999999 0.15999995 0.15999996 0.15999999 0.15999996 0.15999995
 0.15999999 0.15999996 0.15999999 0.15999996]"
58,58,"[0.15999999 0.15999995 0.15999996 0.15999999 0.15999996 0.15999995
 0.15999999 0.15999996 0.15999999 0.15999996]"
59,59,"[0.15999999 0.15999995 0.15999996 0.15999999 0.15999996 0.15999995
 0.15999999 0.15999996 0.15999999 0.15999996]"
60,60,"[0.15999999 0.15999994 0.15999995 0.15999999 0.15999995 0.15999994
 0.15999999 0.15999995 0.15999999 0.15999995]"
61,61,"[0.15999999 0.15999994 0.15999995 0.15999999 0.15999995 0.15999994
 0.15999999 0.15999995 0.15999999 0.15999995]"
62,62,"[0.15999999 0.15999994 0.15999995 0.15999999 0.15999995 0.15999994
 0.15999999 0.15999995 0.15999999 0.15999995]"
63,63,"[0.15999999 0.15999994 0.15999995 0.15999999 0.15999995 0.15999994
 0.15999999 0.15999995 0.15999999 0.15999995]"
64,64,"[0.15999999 0.15999994 0.15999995 0.15999999 0.15999995 0.15999994
 0.15999999 0.15999995 0.15999999 0.15999995]"
65,65,"[0.15999999 0.15999994 0.15999995 0.15999999 0.15999995 0.15999994
 0.15999999 0.15999995 0.15999999 0.15999995]"
66,66,"[0.15999999 0.15999994 0.15999995 0.15999999 0.15999995 0.15999994
 0.15999999 0.15999995 0.15999999 0.15999995]"
67,67,"[0.15999999 0.15999993 0.15999995 0.15999999 0.15999995 0.15999993
 0.15999999 0.15999995 0.15999999 0.15999995]"
68,68,"[0.15999999 0.15999993 0.15999995 0.15999999 0.15999995 0.15999993
 0.15999999 0.15999995 0.15999999 0.15999995]"
69,69,"[0.15999999 0.15999993 0.15999995 0.15999999 0.15999995 0.15999993
 0.15999999 0.15999995 0.15999999 0.15999995]"
70,70,"[0.15999999 0.15999993 0.15999995 0.15999999 0.15999995 0.15999993
 0.15999999 0.15999995 0.15999999 0.15999994]"
71,71,"[0.15999999 0.15999993 0.15999994 0.15999998 0.15999994 0.15999993
 0.15999998 0.15999994 0.15999999 0.15999994]"
72,72,"[0.15999999 0.15999993 0.15999994 0.15999998 0.15999994 0.15999993
 0.15999998 0.15999994 0.15999999 0.15999994]"
73,73,"[0.15999999 0.15999992 0.15999994 0.15999998 0.15999994 0.15999992
 0.15999998 0.15999994 0.15999999 0.15999994]"
74,74,"[0.15999999 0.15999992 0.15999994 0.15999998 0.15999994 0.15999992
 0.15999998 0.15999994 0.15999999 0.15999994]"
75,75,"[0.15999999 0.15999992 0.15999994 0.15999998 0.15999994 0.15999992
 0.15999998 0.15999994 0.15999999 0.15999994]"
76,76,"[0.15999999 0.15999992 0.15999994 0.15999998 0.15999994 0.15999992
 0.15999998 0.15999994 0.15999999 0.15999994]"
77,77,"[0.15999999 0.15999992 0.15999994 0.15999998 0.15999994 0.15999992
 0.15999998 0.15999994 0.15999999 0.15999994]"
78,78,"[0.15999999 0.15999992 0.15999994 0.15999998 0.15999994 0.15999992
 0.15999998 0.15999994 0.15999999 0.15999994]"
79,79,"[0.15999999 0.15999991 0.15999994 0.15999998 0.15999994 0.15999991
 0.15999998 0.15999994 0.15999999 0.15999994]"
80,80,"[0.15999999 0.15999991 0.15999993 0.15999998 0.15999993 0.15999991
 0.15999998 0.15999993 0.15999999 0.15999993]"
81,81,"[0.15999999 0.15999991 0.15999993 0.15999998 0.15999993 0.15999991
 0.15999998 0.15999993 0.15999999 0.15999993]"
82,82,"[0.15999999 0.15999991 0.15999993 0.15999998 0.15999993 0.15999991
 0.15999998 0.15999993 0.15999999 0.15999993]"
83,83,"[0.15999999 0.15999991 0.15999993 0.15999998 0.15999993 0.15999991
 0.15999998 0.15999993 0.15999999 0.15999993]"
84,84,"[0.15999999 0.1599999  0.15999993 0.15999998 0.15999993 0.1599999
 0.15999998 0.15999993 0.15999999 0.15999993]"
85,85,"[0.15999999 0.1599999  0.15999993 0.15999998 0.15999993 0.1599999
 0.15999998 0.15999993 0.15999999 0.15999993]"
86,86,"[0.15999999 0.1599999  0.15999993 0.15999998 0.15999993 0.1599999
 0.15999998 0.15999993 0.15999999 0.15999993]"
87,87,"[0.15999999 0.1599999  0.15999993 0.15999998 0.15999993 0.1599999
 0.15999998 0.15999993 0.15999999 0.15999993]"
88,88,"[0.15999999 0.15999989 0.15999993 0.15999998 0.15999993 0.15999989
 0.15999998 0.15999993 0.15999999 0.15999992]"
89,89,"[0.15999999 0.15999989 0.15999992 0.15999997 0.15999992 0.15999989
 0.15999997 0.15999992 0.15999999 0.15999992]"
