,iteration,speed
176,176,[0.15999998 0.12999999]
177,177,[0.15999998 0.12999999]
178,178,[0.15999998 0.12999999]
179,179,[0.15999998 0.12999999]
180,180,[0.15999998 0.12999999]
181,181,[0.15999998 0.12999999]
182,182,[0.15999998 0.12999999]
183,183,[0.15999998 0.12999999]
184,184,[0.15999998 0.12999999]
185,185,[0.15999998 0.12999999]
186,186,[0.15999998 0.12999999]
187,187,[0.15999999 0.12999999]
188,188,[0.15999999 0.12999999]
189,189,[0.15999999 0.12999999]
190,190,[0.15999999 0.12999999]
191,191,[0.15999999 0.12999999]
192,192,[0.15999999 0.12999999]
193,193,[0.15999999 0.12999999]
194,194,[0.15999999 0.12999999]
195,195,[0.15999999 0.12999999]
196,196,[0.15999999 0.12999999]
197,197,[0.15999999 0.12999999]
198,198,[0.15999999 0.12999999]
199,199,[0.15999999 0.12999999]
200,200,[0.15999999 0.12999999]
201,201,[0.15999999 0.12999999]
202,202,[0.15999999 0.12999999]
203,203,[0.15999999 0.12999999]
204,204,[0.15999999 0.12999999]
205,205,[0.15999999 0.12999999]
206,206,[0.15999999 0.12999999]
207,207,[0.15999999 0.12999999]
208,208,[0.15999999 0.12999999]
209,209,[0.15999999 0.12999999]
210,210,[0.15999999 0.12999999]
211,211,[0.15999999 0.12999999]
212,212,[0.15999999 0.12999999]
213,213,[0.15999999 0.12999999]
214,214,[0.15999999 0.12999999]
215,215,[0.15999999 0.12999999]
216,216,[0.15999999 0.12999999]
217,217,[0.15999999 0.12999999]
218,218,[0.15999999 0.12999999]
219,219,[0.15999999 0.12999999]
220,220,[0.15999999 0.12999999]
221,221,[0.15999999 0.12999999]
222,222,[0.15999999 0.12999999]
223,223,[0.15999999 0.12999999]
224,224,[0.15999999 0.12999999]
225,225,[0.15999999 0.12999999]
226,226,[0.15999999 0.12999999]
227,227,[0.15999999 0.12999999]
228,228,[0.15999999 0.12999999]
229,229,[0.15999999 0.12999999]
230,230,[0.15999999 0.12999999]
231,231,[0.15999999 0.12999999]
232,232,[0.15999999 0.12999999]
233,233,[0.15999999 0.13      ]
234,234,[0.15999999 0.13      ]
235,235,[0.15999999 0.13      ]
236,236,[0.15999999 0.13      ]
237,237,[0.15999999 0.13      ]
238,238,[0.15999999 0.13      ]
239,239,[0.15999999 0.13      ]
240,240,[0.15999999 0.13      ]
241,241,[0.15999999 0.13      ]
242,242,[0.15999999 0.13      ]
243,243,[0.15999999 0.13      ]
244,244,[0.16 0.13]
245,245,[0.16 0.13]
246,246,[0.16 0.13]
247,247,[0.16 0.13]
248,248,[0.16 0.13]
249,249,[0.16 0.13]
250,250,[0.16 0.13]
251,251,[0.16 0.13]
252,252,[0.16 0.13]
253,253,[0.16 0.13]
254,254,[0.16 0.13]
255,255,[0.16 0.13]
256,256,[0.16 0.13]
257,257,[0.16 0.13]
258,258,[0.16 0.13]
259,259,[0.16 0.13]
260,260,[0.16 0.13]
261,261,[0.16 0.13]
262,262,[0.16 0.13]
263,263,[0.16 0.13]
264,264,[0.16 0.13]
265,265,[0.16 0.13]
266,266,[0.16 0.13]
267,267,[0.16 0.13]
268,268,[0.16 0.13]
269,269,[0.16 0.13]
270,270,[0.16 0.13]
271,271,[0.16 0.13]
272,272,[0.16 0.13]
273,273,[0.16 0.13]
274,274,[0.16 0.13]
275,275,[0.16 0.13]
276,276,[0.16 0.13]
277,277,[0.16 0.13]
278,278,[0.16 0.13]
279,279,[0.16 0.13]
280,280,[0.16 0.13]
281,281,[0.16 0.13]
282,282,[0.16 0.13]
283,283,[0.16 0.13]
284,284,[0.16 0.13]
285,285,[0.16 0.13]
286,286,[0.16 0.13]
287,287,[0.16 0.13]
288,288,[0.16 0.13]
289,289,[0.16 0.13]
290,290,[0.16 0.13]
291,291,[0.16 0.13]
292,292,[0.16 0.13]
293,293,[0.16 0.13]
294,294,[0.16 0.13]
295,295,[0.16 0.13]
296,296,[0.16 0.13]
297,297,[0.16 0.13]
298,298,[0.16 0.13]
299,299,[0.16 0.13]
300,300,[0.16 0.13]
301,301,[0.16 0.13]
302,302,[0.16 0.13]
303,303,[0.16 0.13]
304,304,[0.16 0.13]
305,305,[0.16 0.13]
306,306,[0.16 0.13]
307,307,[0.16 0.13]
308,308,[0.16 0.13]
309,309,[0.16 0.13]
310,310,[0.16 0.13]
311,311,[0.16 0.13]
312,312,[0.16 0.13]
313,313,[0.16 0.13]
314,314,[0.16 0.13]
315,315,[0.16 0.13]
316,316,[0.16 0.13]
317,317,[0.16 0.13]
318,318,[0.16 0.13]
319,319,[0.16 0.13]
320,320,[0.16 0.13]
321,321,[0.16 0.13]
322,322,[0.16 0.13]
323,323,[0.16 0.13]
324,324,[0.16 0.13]
325,325,[0.16 0.13]
326,326,[0.16 0.13]
327,327,[0.16 0.13]
328,328,[0.16 0.13]
329,329,[0.16 0.13]
330,330,[0.16 0.13]
331,331,[0.16 0.13]
332,332,[0.16 0.13]
333,333,[0.16 0.13]
334,334,[0.16 0.13]
335,335,[0.16 0.13]
336,336,[0.16 0.13]
337,337,[0.16 0.13]
338,338,[0.16 0.13]
339,339,[0.16 0.13]
340,340,[0.16 0.13]
341,341,[0.16 0.13]
342,342,[0.16 0.13]
343,343,[0.16 0.13]
344,344,[0.16 0.13]
345,345,[0.16 0.13]
346,346,[0.16 0.13]
347,347,[0.16 0.13]
348,348,[0.16 0.13]
349,349,[0.16 0.13]
350,350,[0.16 0.13]
351,351,[0.16 0.13]
352,352,[0.16 0.13]
353,353,[0.16 0.13]
354,354,[0.16 0.13]
355,355,[0.16 0.13]
356,356,[0.16 0.13]
357,357,[0.16 0.13]
358,358,[0.16 0.13]
359,359,[0.16 0.13]
360,360,[0.16 0.13]
361,361,[0.16 0.13]
362,362,[0.16 0.13]
363,363,[0.16 0.13]
364,364,[0.16 0.13]
365,365,[0.16 0.13]
366,366,[0.16 0.13]
367,367,[0.16 0.13]
368,368,[0.16 0.13]
369,369,[0.16 0.13]
370,370,[0.16 0.13]
371,371,[0.16 0.13]
372,372,[0.16 0.13]
373,373,[0.16 0.13]
374,374,[0.16 0.13]
375,375,[0.16 0.13]
376,376,[0.16 0.13]
377,377,[0.16 0.13]
378,378,[0.16 0.13]
379,379,[0.16 0.13]
380,380,[0.16 0.13]
381,381,[0.16 0.13]
382,382,[0.16 0.13]
383,383,[0.16 0.13]
384,384,[0.16 0.13]
385,385,[0.16 0.13]
386,386,[0.16 0.13]
387,387,[0.16 0.13]
388,388,[0.16 0.13]
389,389,[0.16 0.13]
390,390,[0.16 0.13]
391,391,[0.16 0.13]
392,392,[0.16 0.13]
393,393,[0.16 0.13]
394,394,[0.16 0.13]
395,395,[0.16 0.13]
396,396,[0.16 0.13]
397,397,[0.16 0.13]
398,398,[0.16 0.13]
399,399,[0.16 0.13]
400,400,[0.16 0.13]
401,401,[0.16 0.13]
402,402,[0.16 0.13]
403,403,[0.16 0.13]
404,404,[0.16 0.13]
405,405,[0.16 0.13]
406,406,[0.16 0.13]
407,407,[0.16 0.13]
408,408,[0.16 0.13]
409,409,[0.16 0.13]
410,410,[0.16 0.13]
411,411,[0.16 0.13]
412,412,[0.16 0.13]
413,413,[0.16 0.13]
414,414,[0.16 0.13]
415,415,[0.16 0.13]
416,416,[0.16 0.13]
417,417,[0.16 0.13]
418,418,[0.16 0.13]
419,419,[0.16 0.13]
420,420,[0.16 0.13]
421,421,[0.16 0.13]
422,422,[0.16 0.13]
423,423,[0.16 0.13]
424,424,[0.16 0.13]
425,425,[0.16 0.13]
426,426,[0.16 0.13]
427,427,[0.16 0.13]
428,428,[0.16 0.13]
429,429,[0.16 0.13]
430,430,[0.16 0.13]
431,431,[0.16 0.13]
432,432,[0.16 0.13]
433,433,[0.16 0.13]
434,434,[0.16 0.13]
435,435,[0.16 0.13]
436,436,[0.16 0.13]
437,437,[0.16 0.13]
438,438,[0.16 0.13]
439,439,[0.16 0.13]
440,440,[0.16 0.13]
441,441,[0.16 0.13]
442,442,[0.16 0.13]
443,443,[0.16 0.13]
444,444,[0.16 0.13]
445,445,[0.16 0.13]
446,446,[0.16 0.13]
447,447,[0.16 0.13]
448,448,[0.16 0.13]
449,449,[0.16 0.13]
450,450,[0.16 0.13]
451,451,[0.16 0.13]
452,452,[0.16 0.13]
453,453,[0.16 0.13]
454,454,[0.16 0.13]
455,455,[0.16 0.13]
456,456,[0.16 0.13]
457,457,[0.16 0.13]
458,458,[0.16 0.13]
459,459,[0.16 0.13]
460,460,[0.16 0.13]
461,461,[0.16 0.13]
462,462,[0.16 0.13]
463,463,[0.16 0.13]
464,464,[0.16 0.13]
465,465,[0.16 0.13]
466,466,[0.16 0.13]
467,467,[0.16 0.13]
468,468,[0.16 0.13]
469,469,[0.16 0.13]
470,470,[0.16 0.13]
471,471,[0.16 0.13]
472,472,[0.16 0.13]
473,473,[0.16 0.13]
474,474,[0.16 0.13]
475,475,[0.16 0.13]
476,476,[0.16 0.13]
477,477,[0.16 0.13]
478,478,[0.16 0.13]
479,479,[0.16 0.13]
480,480,[0.16 0.13]
481,481,[0.16 0.13]
482,482,[0.16 0.13]
483,483,[0.16 0.13]
484,484,[0.16 0.13]
485,485,[0.16 0.13]
486,486,[0.16 0.13]
487,487,[0.16 0.13]
488,488,[0.16 0.13]
489,489,[0.16 0.13]
490,490,[0.16 0.13]
491,491,[0.16 0.13]
492,492,[0.16 0.13]
493,493,[0.16 0.13]
494,494,[0.16 0.13]
495,495,[0.16 0.13]
496,496,[0.16 0.13]
497,497,[0.16 0.13]
498,498,[0.16 0.13]
499,499,[0.16 0.13]
500,500,[0.16 0.13]
501,501,[0.16 0.13]
502,502,[0.16 0.13]
503,503,[0.16 0.13]
504,504,[0.16 0.13]
505,505,[0.16 0.13]
506,506,[0.16 0.13]
507,507,[0.16 0.13]
508,508,[0.16 0.13]
509,509,[0.16 0.13]
510,510,[0.16 0.13]
511,511,[0.16 0.13]
512,512,[0.16 0.13]
513,513,[0.16 0.13]
514,514,[0.16 0.13]
515,515,[0.16 0.13]
516,516,[0.16 0.13]
517,517,[0.16 0.13]
518,518,[0.16 0.13]
519,519,[0.16 0.13]
520,520,[0.16 0.13]
521,521,[0.16 0.13]
522,522,[0.16 0.13]
523,523,[0.16 0.13]
524,524,[0.16 0.13]
525,525,[0.16 0.13]
526,526,[0.16 0.13]
527,527,[0.16 0.13]
528,528,[0.16 0.13]
529,529,[0.16 0.13]
530,530,[0.16 0.13]
531,531,[0.16 0.13]
532,532,[0.16 0.13]
533,533,[0.16 0.13]
534,534,[0.16 0.13]
535,535,[0.16 0.13]
536,536,[0.16 0.13]
537,537,[0.16 0.13]
538,538,[0.16 0.13]
539,539,[0.16 0.13]
540,540,[0.16 0.13]
541,541,[0.16 0.13]
542,542,[0.16 0.13]
543,543,[0.16 0.13]
544,544,[0.16 0.13]
545,545,[0.16 0.13]
546,546,[0.16 0.13]
547,547,[0.16 0.13]
548,548,[0.16 0.13]
549,549,[0.16 0.13]
550,550,[0.16 0.13]
551,551,[0.16 0.13]
552,552,[0.16 0.13]
553,553,[0.16 0.13]
554,554,[0.16 0.13]
555,555,[0.16 0.13]
556,556,[0.16 0.13]
557,557,[0.16 0.13]
558,558,[0.16 0.13]
559,559,[0.16 0.13]
560,560,[0.16 0.13]
561,561,[0.16 0.13]
562,562,[0.16 0.13]
563,563,[0.16 0.13]
564,564,[0.16 0.13]
565,565,[0.16 0.13]
566,566,[0.16 0.13]
567,567,[0.16 0.13]
568,568,[0.16 0.13]
569,569,[0.16 0.13]
570,570,[0.16 0.13]
571,571,[0.16 0.13]
572,572,[0.16 0.13]
573,573,[0.16 0.13]
574,574,[0.16 0.13]
575,575,[0.16 0.13]
576,576,[0.16 0.13]
577,577,[0.16 0.13]
578,578,[0.16 0.13]
579,579,[0.16 0.13]
580,580,[0.16 0.13]
581,581,[0.16 0.13]
582,582,[0.16 0.13]
583,583,[0.16 0.13]
584,584,[0.16 0.13]
585,585,[0.16 0.13]
